tag,rep,l1_ms,l2_ms,l3_ms,l4_ms,l5_ms,l6_ms,l7_ms,sum_l1_l7,cpu_l17_ms,residual_ms,gpu_l8_ms,wall_ms
rtx4090,1,651.51,1044.68,625.12,620.45,619.31,618.85,1063.35,5243.26,5243.33,0.06,418.57,6115
rtx4090,2,555.40,897.04,549.62,549.37,545.32,548.92,940.80,4586.48,4586.51,0.03,418.46,5484
rtx4090,3,575.03,942.25,563.16,569.08,571.89,567.84,982.94,4772.18,4772.21,0.04,418.24,5664
rtx4090,4,595.40,992.85,595.28,598.34,601.42,593.15,1019.41,4995.86,4995.90,0.04,418.58,5894
rtx4090,5,723.40,1140.04,662.95,669.24,656.28,660.05,1136.39,5648.35,5648.40,0.05,416.77,6578
rtx4090,6,595.37,960.28,568.80,567.14,567.79,564.51,979.67,4803.56,4803.60,0.04,416.57,5666
